org_name,city,street,longitude,latitude,receipt_price
Loupol,Bratislava,Mickiewiczova,17.1150468,48.1493666,25.0
dm drogerie markt,Bratislava,Metodova,17.1295242,48.1570204,24.05
TAURIS,Kúty,Štefánikova,17.0226617,48.657864,23.64
Medusa Restaurants,Bratislava,Hviezdoslavovo námestie,17.1086181,48.142211,23.4
TESCO STORES,Bratislava,Košická,17.1354783,48.1520638,23.35
S7,Bratislava,Mlynské Nivy,17.1272274,48.1458877,23.1
AGROJÁN,Hronský Beňadik,Hlavná,18.5782394,48.3636519,23.0
COOP Jednota,Oščadnica,Oščadnica,18.8876253,49.4386924,21.81
ARNB,Bratislava,Mlynské nivy,17.1286972,48.1468397,21.4
Trnka Gastronomy,Bratislava,Námestie Mateja Korvína,17.119301,48.1560734,21.2
Bistro St Germain,Bratislava,Páričková,17.1322406,48.1484595,20.98
OMV,Bratislava,Einsteinova,17.1090504,48.1311052,20.9
BILLA,Bratislava,Mýtna,17.1184873,48.1562648,20.64
BS & AN,Šaštín,Nám.Slobody,17.1531111,48.636511,20.599999999999998
dm drogerie markt,Bratislava,Mlynské Nivy,17.1277397,48.147324,20.3
KOLWEZI,Bratislava,FreshMarket   Rožňavská,17.1533438,48.1675397,20.110000000000003
Galaxia VR,Bratislava,Studená,17.17756,48.1837211,20.0
GAMI - med,Bratislava,Šustekova,17.1238322,48.1284631,20.0
BENU Páričkova,Bratislava,Páričkova,17.1326659,48.1489606,19.060000000000002
Vomur,Bratislava,Einsteinova,17.1095327,48.132256,19.0
STH - Stavohotely,Bratislava,Líščie nivy,17.140726,48.1578887,19.0
Správa telovýchovných a rekreačných zariadení hlavného mesta Bratislavy,Bratislava,Ružová dolina,17.1423516,48.1498495,18.5
Bombay Express Bratislava,Bratislava,Mlynské nivy,17.1277397,48.147324,17.400000000000002
TESCO STORES,Bratislava,Mliekarenská,17.1419614,48.1517735,17.38
NP PATISSERIE,Bratislava,Einsteinova,17.1095327,48.132256,17.3
TESCO STORES,Bratislava,Pribinova,17.1265686,48.1399733,16.89
Euro-Ázijské Konzultačné a Vzdelávacie Centrum,Bratislava,Námestie 1 Mája,17.1109158,48.1502791,16.8
dm drogerie markt,Bratislava,Obchodná,17.112118,48.1481406,16.2
42,Bratislava,Pribinova 8,17.1226517,48.1407299,15.99
SPARKYS,Bratislava,Einsteinova,17.1095327,48.132256,15.870000000000001
ASIAN VIEW,Bratislava,Mlynské nivy,17.1301738,48.1467213,15.59
Predajne Malina,Bratislava,Kvačalová,17.1306,48.1522675,15.48
BILLA,Senica,Čačovská cesta,17.3507449,48.6798294,15.329999999999998
DEICHMANN-OBUV,Bratislava,Metodova,17.1295242,48.1570204,14.99
Lidl,Košice,Hlavná,21.2561947,48.7254506,14.959999999999999
Xuan Duc Do - DHY,Štefanov,Štefanov,17.1999634,48.6774796,14.74
EAST EUROPE TRADE,Skalica,Potočná,17.2260303,48.8464488,14.7
PHARMA CBC II,Bratislava,Karadžičova,17.1252067,48.1482402,14.15
BILLA,Modra,Šúrska,17.3098822,48.3274601,14.13
FAnn-parfumérie,Bratislava,Mlynské Nivy,17.1272274,48.1458877,14.0
Slovenský potravinársky priemysel,Bratislava,Mlynské Nivy,17.1236678,48.1466793,13.930000000000001
Ksisters,Bratislava,Mlynské nivy,17.1301738,48.1467213,13.91
Taormina,Košice,Mäsiarska,21.2539227,48.7214401,13.899999999999999
be PARTY,Bratislava,Mlynské nivy,17.1300312,48.1462159,13.4
Mila & Co,Bratislava,Mlynské nivy,17.1277397,48.147324,13.399999999999999
Pepco,Bratislava,Metodova,17.1295242,48.1570204,13.0
ORION TRADE,Bratislava,Mlynské nivy,17.1412641,48.1444923,12.97
FAUN,Kúty,Bratislavská,17.0191983,48.6573734,12.649999999999999
Omrvinka,Šaštín,J.Hollého,17.1532206,48.6374271,12.370000000000001
CUREL,Bratislava,Mlynské Nivy,17.1272274,48.1458877,12.0
Potraviny Hejs,Šaštín,Štúrova,17.1440759,48.6378503,11.92
GHT,Bratislava,Mlynské nivy,17.1277397,48.147324,11.8
BAHNA Trade,Banská Štiavnica,Kammerhofská,18.8954898,48.4578606,11.5
UNITAS Group,Bratislava,Mlynské Nivy,17.1412641,48.1444923,11.49
EUROPHARMA,Bratislava,Pribinova,17.1212575,48.1406836,10.29
LEON BA,Bratislava,"Zuzany Chalupovej, Slnečnice Market",17.1181909,48.092235,10.0
BISTRO,Bratislava,HORNBACH Bratislava - Devínska Nová Ves,17.0200933,48.2057193,10.0
INFINITY team,Bratislava,Mlynské nivy,17.1286972,48.1468397,9.99
H & M Hennes & Mauritz,Bratislava,Metodova,17.1295242,48.1570204,9.99
Slovenská plavba a prístavy - lodná osobná doprava,Bratislava,Fajnorovo nábrežie,17.1127579,48.1398819,9.5
Predajne Malina,Bratislava,Mlynské Nivy,17.1236678,48.1466793,9.22
Mincovňa Kremnica štátny podnik,Kremnica,Štefánikovo námestie,18.9161752,48.7055007,9.0
YOYOSO,Bratislava,Mlynské Nivy,17.1277397,48.147324,9.0
Czech Roll Trade,Bratislava,Mlynské nivy,17.1236678,48.1466793,8.76
GHT,Bratislava,Vajnorská,17.1396851,48.1686279,8.6
fiftyfifty,Bratislava,Mlynské nivy,17.1236678,48.1466793,8.6
NA ZDRAVIE,Bratislava,Kristy Bendovej,17.0304788,48.1953709,8.45
PSS,Štrba,Štrba,20.0650937,49.0652079,8.17
Bio - Slnečnica,Bratislava,Kvačalova,17.1333042,48.1502507,8.049999999999999
SPANK,Bratislava,Rožňavská,17.1564873,48.1695784,8.0
KALVÁRSKY FOND,Banská Štiavnica,Pod Kalváriou,18.9077035,48.4619203,8.0
Ján Holický,Šaštín,Hollého,17.1543517,48.6374744,8.0
MADICOR,Bratislava,Metodova,17.1295242,48.1570204,7.69
KVK - Domáce potreby,Bratislava,Dulovo námestie,17.1349045,48.1497231,7.300000000000001
Minárik,Šaštín,Námestie slobody,17.1544052,48.6368933,7.27
Jozef Badánik - BADAS,Černová,Salaš Krajinka,19.2311381,49.107534,7.27
PK Inpex,Bratislava,Námestie Franza Liszta,17.1062651,48.1586569,7.1
Gamma Root,Kúty,Štefánikova,17.0226617,48.657864,6.15
SLOVNAFT,Bratislava,Vajnorská,17.1517531,48.1786963,6.12
dm drogerie markt,Bratislava,Einsteinova,17.1095327,48.132256,5.75
Národný ústav detských chorôb skrátene NÚDCH,Bratislava,Limbová,17.0812876,48.1674589,5.7
Ko Ma Co,Modra,Štúrova,17.3103079,48.336646,5.7
Včelco,Smolenice,Továrenská,17.4437965,48.5150962,5.300000000000001
Uouorose,Bratislava,Mlynské Nivy,17.1277397,48.147324,4.99
FAUN,Šaštín,J.Hollého,17.1527423,48.6375172,4.76
Spusta Group,Bratislava,Rožňavská,17.1531824,48.1676879,4.3999999999999995
H U Dioxidos,Bratislava,Mlynské nivy,17.1236678,48.1466793,4.039999999999999
Jan Holický,Šaštín,Hollého,17.1543517,48.6374744,4.0
MALINA potraviny,Bratislava,Mlynské Nivy,17.1236678,48.1466793,3.3899999999999997
Dr MAGNET,Bratislava,Ružinovská,17.1519477,48.1552301,3.0
Dráčik DIVI,Bratislava,Panónska cesta,17.0967045,48.1040351,2.78
JVS GROUP,Bratislava,Hodonínska,17.0397145,48.2080743,2.5
TERNO real estate,Bratislava,Bajkalská,17.1391499,48.1639605,2.27
Bohdal RAJ,Bratislava,Limbová,17.0812876,48.1674589,2.0
